confusion_matrix,tp,tn,fp,fn,precision,recall,f1,accuracy,threshold,roc_auc,File
"[[484 168]
 [156 474]]",474,484,168,156,0.7383177570093458,0.7523809523809524,0.7452830188679245,0.7472698907956318,0.51448053,0.8264655760054533,EISD840101
"[[475 177]
 [149 481]]",481,475,177,149,0.7310030395136778,0.7634920634920634,0.7468944099378882,0.7457098283931357,0.4988196492195129,0.8270255136819554,KIDA850101
"[[486 166]
 [128 502]]",502,486,166,128,0.7514970059880239,0.7968253968253968,0.773497688751926,0.7706708268330733,0.5191741585731506,0.8413964358749635,GOLD730101
"[[499 153]
 [152 478]]",478,499,153,152,0.757527733755943,0.7587301587301587,0.7581284694686756,0.7620904836193447,0.4959073066711426,0.8336717304508714,CASG920101
"[[455 197]
 [109 521]]",521,455,197,109,0.7256267409470752,0.8269841269841269,0.7729970326409495,0.7613104524180967,0.4806123375892639,0.8300467426234297,FASG890101
"[[415 237]
 [100 530]]",530,415,237,100,0.6910039113428944,0.8412698412698413,0.7587687902648532,0.7371294851794071,0.4115097522735595,0.8230596942253383,KYTJ820101
"[[454 198]
 [107 523]]",523,454,198,107,0.7253814147018031,0.8301587301587302,0.7742413027387121,0.7620904836193447,0.4981878995895386,0.8444639205375403,BLAS910101
"[[466 186]
 [112 518]]",518,466,186,112,0.7357954545454546,0.8222222222222222,0.7766116941529235,0.7675507020280812,0.4874354898929596,0.8502921413964358,L_hydrophobicity_scale
"[[437 215]
 [105 525]]",525,437,215,105,0.7094594594594594,0.8333333333333334,0.7664233576642335,0.750390015600624,0.5010190010070801,0.8146216768916155,NADH010103
"[[465 187]
 [128 502]]",502,465,187,128,0.7285921625544267,0.7968253968253968,0.7611827141774071,0.7542901716068643,0.5246058702468872,0.8149990261953451,NADH010104
"[[494 158]
 [134 496]]",496,494,158,134,0.7584097859327217,0.7873015873015873,0.7725856697819314,0.7722308892355694,0.4857937097549438,0.8360624208783718,NADH010105
"[[503 149]
 [165 465]]",465,503,149,165,0.757328990228013,0.7380952380952381,0.747588424437299,0.7550702028081123,0.5170311331748962,0.8330813613789075,NADH010102
"[[446 206]
 [118 512]]",512,446,206,118,0.713091922005571,0.8126984126984127,0.7596439169139466,0.7472698907956318,0.4946829080581665,0.8236853637160386,PRAM900101
"[[536 116]
 [204 426]]",426,536,116,204,0.7859778597785978,0.6761904761904762,0.726962457337884,0.750390015600624,0.4994111657142639,0.8370776122309864,JOND750101
"[[524 128]
 [199 431]]",431,524,128,199,0.7710196779964222,0.6841269841269841,0.7249789739276703,0.7449297971918877,0.5246233344078064,0.8294551562956471,ENGD860101
"[[415 237]
 [ 93 537]]",537,415,237,93,0.6937984496124031,0.8523809523809524,0.7649572649572649,0.7425897035881436,0.4372119009494781,0.8277631707079559,JURD980101
"[[535 117]
 [172 458]]",458,535,117,172,0.7965217391304348,0.726984126984127,0.7601659751037344,0.7745709828393136,0.4702134132385254,0.8538745252702309,KUHL950101
"[[497 155]
 [155 475]]",475,497,155,155,0.753968253968254,0.753968253968254,0.753968253968254,0.7581903276131046,0.5159483551979065,0.8372748076735808,WOLR790101
"[[488 164]
 [134 496]]",496,488,164,134,0.7515151515151515,0.7873015873015873,0.7689922480620155,0.7675507020280812,0.5103470683097839,0.8278118609406954,EISD860102
"[[478 174]
 [141 489]]",489,478,174,141,0.7375565610859729,0.7761904761904762,0.7563805104408353,0.7542901716068643,0.5061154365539551,0.830799006719252,CIDH920105
"[[471 181]
 [133 497]]",497,471,181,133,0.7330383480825958,0.7888888888888889,0.7599388379204893,0.7550702028081123,0.4760947525501251,0.8283182393611842,ZIMJ680101
"[[493 159]
 [165 465]]",465,493,159,165,0.7451923076923077,0.7380952380952381,0.7416267942583732,0.7472698907956318,0.4822644889354706,0.8332274320771254,HOPT810101
"[[503 149]
 [161 469]]",469,503,149,161,0.7588996763754046,0.7444444444444445,0.7516025641025641,0.7581903276131046,0.5038472414016724,0.8410312591294186,ARGP820101
"[[525 127]
 [200 430]]",430,525,127,200,0.7719928186714542,0.6825396825396826,0.7245155855096883,0.7449297971918877,0.5052077770233154,0.823797351251339,NADH010107
"[[491 161]
 [149 481]]",481,491,161,149,0.7492211838006231,0.7634920634920634,0.7562893081761006,0.7581903276131046,0.5007230043411255,0.8313711169539391,PONP930101
"[[483 169]
 [140 490]]",490,483,169,140,0.7435508345978755,0.7777777777777778,0.7602792862684251,0.7589703588143526,0.5055220127105713,0.8228746713409291,NADH010101
"[[460 192]
 [125 505]]",505,460,192,125,0.7245337159253945,0.8015873015873016,0.7611152976639035,0.7527301092043682,0.5012319087982178,0.8191060473269062,NADH010106
"[[521 131]
 [186 444]]",444,521,131,186,0.7721739130434783,0.7047619047619048,0.7369294605809129,0.7527301092043682,0.5001171827316284,0.8300905638328951,LEVM760101
