confusion_matrix,tp,tn,fp,fn,precision,recall,f1,accuracy,threshold,roc_auc,File
"[[522 130]
 [184 446]]",446,522,130,184,0.7743055555555556,0.707936507936508,0.7396351575456053,0.7550702028081123,0.5020617,0.823797351251339,EISD840101
"[[477 175]
 [161 469]]",469,477,175,161,0.7282608695652174,0.7444444444444445,0.7362637362637363,0.7379095163806553,0.5008459687232971,0.8216257668711655,KIDA850101
"[[504 148]
 [175 455]]",455,504,148,175,0.7545605306799337,0.7222222222222222,0.7380373073803731,0.7480499219968799,0.5050552487373352,0.8272202746129127,GOLD730101
"[[468 184]
 [127 503]]",503,468,184,127,0.7321688500727802,0.7984126984126985,0.7638572513287776,0.7574102964118564,0.5017627477645874,0.824861232836693,CASG920101
"[[409 243]
 [100 530]]",530,409,243,100,0.685640362225097,0.8412698412698413,0.7555238774055595,0.7324492979719188,0.4458553493022918,0.8134287661895023,FASG890101
"[[481 171]
 [134 496]]",496,481,171,134,0.7436281859070465,0.7873015873015873,0.7648419429452583,0.7620904836193447,0.5445960164070129,0.8335500048690232,KYTJ820101
"[[440 212]
 [102 528]]",528,440,212,102,0.7135135135135136,0.8380952380952381,0.7708029197080292,0.7550702028081123,0.5024207234382629,0.8354830071087741,BLAS910101
"[[453 199]
 [101 529]]",529,453,199,101,0.7266483516483516,0.8396825396825397,0.7790868924889544,0.765990639625585,0.4863119125366211,0.8456130100301877,L_hydrophobicity_scale
"[[445 207]
 [130 500]]",500,445,207,130,0.7072135785007072,0.7936507936507936,0.7479431563201197,0.7371294851794071,0.5316596627235413,0.8138779335865225,NADH010103
"[[401 251]
 [ 87 543]]",543,401,251,87,0.6838790931989924,0.861904761904762,0.7626404494382022,0.7363494539781591,0.5079745650291443,0.8233104489239459,NADH010104
"[[533 119]
 [217 413]]",413,533,119,217,0.7763157894736842,0.6555555555555556,0.7108433734939759,0.7379095163806553,0.5189712047576904,0.8201212386795209,NADH010105
"[[468 184]
 [126 504]]",504,468,184,126,0.7325581395348837,0.8,0.7647951441578149,0.7581903276131046,0.5025312900543213,0.82698169247249,NADH010102
"[[418 234]
 [103 527]]",527,418,234,103,0.6925098554533509,0.8365079365079365,0.7577282530553558,0.7371294851794071,0.477816641330719,0.82117294770669,PRAM900101
"[[538 114]
 [214 416]]",416,538,114,214,0.7849056603773585,0.6603174603174603,0.7172413793103448,0.7441497659906396,0.5397184491157532,0.8378128347453501,JOND750101
"[[477 175]
 [142 488]]",488,477,175,142,0.7360482654600302,0.7746031746031746,0.7548337200309359,0.7527301092043682,0.5032249689102173,0.8201407147726167,ENGD860101
